Vardas         Pavarde        Galutinis (vid.)
-----------------------------------------------------------------------
vardas2        pavarde2         3.4
vardas3        pavarde3         4.4
vardas5        pavarde5        4.68
vardas6        pavarde6        3.84
vardas7        pavarde7        2.64
vardas12       pavarde12        2.8
vardas18       pavarde18       3.72
vardas19       pavarde19       4.28
vardas21       pavarde21       1.96
vardas22       pavarde22       3.04
vardas27       pavarde27       3.76
vardas28       pavarde28       2.04
vardas33       pavarde33       3.76
vardas35       pavarde35       4.92
vardas39       pavarde39       4.44
vardas40       pavarde40       4.16
vardas45       pavarde45       4.52
vardas51       pavarde51       2.68
vardas55       pavarde55       3.44
vardas58       pavarde58       4.12
vardas59       pavarde59       3.36
vardas61       pavarde61       2.76
vardas62       pavarde62       4.36
vardas63       pavarde63       4.48
vardas65       pavarde65       2.76
vardas66       pavarde66       3.56
vardas67       pavarde67        2.6
vardas69       pavarde69       2.64
vardas70       pavarde70       3.04
vardas71       pavarde71       2.28
vardas72       pavarde72       2.12
vardas74       pavarde74       4.52
vardas75       pavarde75       4.76
vardas76       pavarde76       4.92
vardas81       pavarde81       3.56
vardas82       pavarde82        3.2
vardas85       pavarde85          4
vardas86       pavarde86       3.76
vardas87       pavarde87        3.8
vardas89       pavarde89       3.08
vardas90       pavarde90        2.6
vardas91       pavarde91       2.44
vardas93       pavarde93          4
vardas96       pavarde96        4.2
vardas99       pavarde99       4.68
vardas101      pavarde101      4.08
vardas104      pavarde104      2.72
vardas106      pavarde106      4.64
vardas107      pavarde107      2.44
vardas108      pavarde108       3.6
vardas110      pavarde110      2.04
vardas115      pavarde115      3.72
vardas117      pavarde117       3.4
vardas118      pavarde118      4.56
vardas119      pavarde119      2.52
vardas120      pavarde120      4.92
vardas123      pavarde123      3.64
vardas126      pavarde126      3.32
vardas127      pavarde127      3.84
vardas130      pavarde130       4.6
vardas132      pavarde132      2.44
vardas136      pavarde136       3.6
vardas137      pavarde137      4.44
vardas138      pavarde138      4.12
vardas141      pavarde141      3.88
vardas142      pavarde142      3.68
vardas144      pavarde144      3.52
vardas147      pavarde147      3.16
vardas149      pavarde149      3.44
vardas150      pavarde150      3.08
vardas152      pavarde152      3.68
vardas154      pavarde154      4.84
vardas158      pavarde158      2.68
vardas159      pavarde159      2.72
vardas162      pavarde162       4.6
vardas163      pavarde163      3.04
vardas169      pavarde169       4.2
vardas170      pavarde170      3.44
vardas172      pavarde172       4.2
vardas176      pavarde176      4.44
vardas180      pavarde180      3.56
vardas183      pavarde183      4.48
vardas185      pavarde185      4.72
vardas189      pavarde189       3.8
vardas190      pavarde190      4.64
vardas195      pavarde195      4.44
vardas196      pavarde196      3.32
vardas198      pavarde198       3.4
vardas200      pavarde200      3.68
vardas202      pavarde202       3.4
vardas203      pavarde203      4.68
vardas204      pavarde204      2.64
vardas206      pavarde206      3.16
vardas210      pavarde210      3.96
vardas211      pavarde211      3.88
vardas212      pavarde212      3.88
vardas215      pavarde215         4
vardas216      pavarde216         4
vardas221      pavarde221      2.12
vardas222      pavarde222      3.56
vardas223      pavarde223         4
vardas224      pavarde224      3.56
vardas227      pavarde227      2.88
vardas228      pavarde228      4.08
vardas229      pavarde229      3.76
vardas231      pavarde231         3
vardas232      pavarde232      2.68
vardas233      pavarde233      4.36
vardas236      pavarde236      3.84
vardas237      pavarde237      3.36
vardas238      pavarde238      1.96
vardas241      pavarde241      4.04
vardas248      pavarde248      3.12
vardas249      pavarde249      4.32
vardas250      pavarde250         4
vardas253      pavarde253      3.32
vardas261      pavarde261      4.52
vardas266      pavarde266      2.68
vardas272      pavarde272      3.32
vardas273      pavarde273      3.36
vardas274      pavarde274      3.36
vardas279      pavarde279      4.08
vardas280      pavarde280      4.84
vardas281      pavarde281       2.6
vardas282      pavarde282       3.8
vardas284      pavarde284      3.04
