Vardas         Pavarde        Galutinis (vid.)
-----------------------------------------------------------------------
vardas0        pavarde0        5.08
vardas1        pavarde1        6.16
vardas4        pavarde4        5.52
vardas8        pavarde8        7.12
vardas9        pavarde9        8.12
vardas10       pavarde10       6.28
vardas11       pavarde11        5.6
vardas13       pavarde13       5.56
vardas14       pavarde14       7.32
vardas15       pavarde15       8.12
vardas16       pavarde16       5.84
vardas17       pavarde17       6.84
vardas20       pavarde20       6.64
vardas23       pavarde23       5.28
vardas24       pavarde24       8.36
vardas25       pavarde25       7.16
vardas26       pavarde26       7.04
vardas29       pavarde29       5.96
vardas30       pavarde30        7.8
vardas31       pavarde31        5.2
vardas32       pavarde32       6.72
vardas34       pavarde34       5.36
vardas36       pavarde36       6.72
vardas37       pavarde37       7.64
vardas38       pavarde38       7.72
vardas41       pavarde41       5.16
vardas42       pavarde42       6.44
vardas43       pavarde43       6.44
vardas44       pavarde44       7.44
vardas46       pavarde46       6.84
vardas47       pavarde47        5.6
vardas48       pavarde48       7.44
vardas49       pavarde49       7.84
vardas50       pavarde50        6.4
vardas52       pavarde52       7.16
vardas53       pavarde53       9.44
vardas54       pavarde54       6.16
vardas56       pavarde56       5.52
vardas57       pavarde57        5.6
vardas60       pavarde60       7.84
vardas64       pavarde64       5.16
vardas68       pavarde68       6.24
vardas73       pavarde73        6.4
vardas77       pavarde77       7.04
vardas78       pavarde78       5.04
vardas79       pavarde79       8.64
vardas80       pavarde80       5.56
vardas83       pavarde83       5.88
vardas84       pavarde84       5.92
vardas88       pavarde88       5.56
vardas92       pavarde92       7.28
vardas94       pavarde94       6.52
vardas95       pavarde95       6.16
vardas97       pavarde97       8.08
vardas98       pavarde98       5.28
vardas100      pavarde100       5.6
vardas102      pavarde102      5.08
vardas103      pavarde103      6.08
vardas105      pavarde105       6.4
vardas109      pavarde109         8
vardas111      pavarde111      6.24
vardas112      pavarde112      7.56
vardas113      pavarde113       7.2
vardas114      pavarde114         5
vardas116      pavarde116      7.08
vardas121      pavarde121         8
vardas122      pavarde122      7.72
vardas124      pavarde124      6.72
vardas125      pavarde125      7.64
vardas128      pavarde128      5.92
vardas129      pavarde129      7.52
vardas131      pavarde131      7.48
vardas133      pavarde133      6.92
vardas134      pavarde134      8.12
vardas135      pavarde135      6.32
vardas139      pavarde139      6.24
